UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors,CityQuality
Beijing, China,Asia,6.173,8.101,4.872,9.562,7.0175,4.83675,3.815333333,7.066,6.423333333,7.971,2.0555,6.103,1.426,3.493,7.2685,2.822,4.9435,93.94941667
Beirut, Lebanon,Asia,6.6555,6.3,3.4095,0,1.3045,4.77275,4.329,6.833,6.159333333,1.0035,1.449,3.4345,8.2805,1.5905,3.3995,4.184,3.842,66.94708333
Belfast, United Kingdom,Europe,7.532,6.014,3.55,1.621,4.0985,5.28,8.992,7.679,8.168333333,4.6865,8.3775,5.438,5.9545,5.5955,4.957,5.9795,1.413,95.33633333
Belgrade, Serbia,Europe,9.2575,8.546,4.9095,2.333,2.1365,5.57825,5.384,6.6995,6.010333333,0.5,4.88325,1.638,4.1665,3.863,6.497,7.387,5.078,84.86733333
Belize City, Belize,North America,4.6425,0,1.866,0,0.89,0,3.411,6.052,5.504,0,2.031,3.496,6.93,3.8075,1.0645,6.865,0.5,47.0595
Bengaluru, India,Asia,9.811,10,10,8.973,4.064,4.00625,3.618,7.294,3.937,0.656,2.75575,5.5565,3.4145,2.841,3.2215,3.4845,2.385,86.018
Bergen, Norway,Europe,5.2295,1.805,2.207,1,3.2425,5.8875,9.635333333,7.7075,7.646666667,4.8395,7.53925,7.0735,4.752,6.537,4.4875,7.6145,4.3135,91.51775
Berlin, Germany,Europe,6.395,5.524,9.085,7.82,7.025,6.196,9.072333333,7.2515,7.990666667,7.019,6.7715,5.3735,3.9035,4.678,8.881,7.1775,5.475,115.6385
Bern, Switzerland,Europe,4.9225,1,2.6875,0,5.2635,5.19775,8.888,9.266,7.520333333,5.3455,9.2445,6.552,6.4285,6.1145,4.245,8.589,2.1225,93.38708333
Bilbao, Spain,Europe,6.888,5.638,2.668,0,4.1735,5.77475,7.119666667,8.7805,9.320666667,3.759,8.328,4.296,3.894,5.756,6.014,8.663,1.481,92.55408333
Birmingham, United Kingdom,Europe,5.9035,5.814,4.3575,2.541,5.845,5.4935,8.992,6.9465,8.293666667,5.0265,5.7385,5.438,5.9545,5.94,4.435,6.421,1.2675,94.40766667
Bogota, Colombia,South America,9.0275,9.08,5.7085,1.259,1.889,4.964,6.348666667,6.222,6.301666667,1.534,4.3475,4.5945,1.8515,2.976,6.215,8.5555,7.477,88.35133333
Boise, Idaho,North America,6.9635,6.578,4.205,2.596,1.3235,5.225,8.671,4.3605,6.797333333,3.6245,8.0695,6.5145,4.062,3.442,4.1995,6.9275,5.221,88.78033333
Bologna, Italy,Europe,7.472,5.189,3.1485,1.397,3.682,5.53,6.189666667,7.337,8.577666667,4.2025,5.46025,3.3625,2.4365,7.7105,5.736,7.618,1.5815,86.63058333
Bordeaux, France,Europe,7.1915,4.583,3.6915,0,4.876,5.54975,8.088333333,7.466,8.823333333,4.442,7.261,4.2045,2.648,3.875,5.3005,7.1265,2.8755,88.00241667
Boston, Massachusetts,North America,1,4.259,9.565,10,3.215,4.39625,8.671,7.742,6.729,8.6245,8.1705,6.5145,4.062,5.7005,8.564,8.4815,5.66,111.35475
Boulder, Colorado,North America,3.704,4.531,5.853,6.019,4.207,6.138,8.671,7.0735,7.050333333,4.679,9.84375,6.5145,4.346,6.278,2.565,9.2745,6.699,103.4465833
Bozeman, Montana,North America,2.949,0,3.407,0,1.1905,0,8.671,6.9145,6.515,4.128,9.369,6.5145,4.062,5.156,1.907,7.2935,6.134,74.211
Bratislava, Slovakia,Europe,7.8745,7.618,3.487,0,4.89,5.8115,6.188666667,8.618,6.752,3.2975,6.2,4.4705,4.937,4.5835,6.186,6.4325,4.8575,92.20416667
Brighton, United Kingdom,Europe,2.49,5.324,3.4095,0,8.322,5.5475,8.992,8.4715,7.716333333,4.906,8.24575,5.438,5.9545,4.7585,4.8695,8.17,4.898,97.51308333
Brisbane, Australia,Oceania,5.212,5.177,6.343,3.24,2.4345,4.61775,9.399666667,7.9035,8.317666667,5.921,8.82775,6.0695,4.5885,4.4075,4.01,7.4895,6.2565,100.2153333
Bristol, United Kingdom,Europe,5.216,5.242,4.113,3.593,4.89,5.44375,8.992,7.94,8.251666667,5.4615,6.47225,5.438,5.9545,6.478,3.8625,7.4395,4.538,99.32566667
Brno, Czechia,Europe,8.329,7.926,2.9155,0,2.601,5.82725,6.212666667,8.5655,8.096666667,4.2265,6.05525,4.378,5.9335,7.0205,5.3525,8.055,3.694,95.18883333
Brussels, Belgium,Europe,6.355,4.477,5.6915,3.374,7.4675,5.38675,8.877,6.703,8.158333333,6.653,4.591,4.8115,1.883,7.5715,8.144,6.481,4.123,100.7480833
Bucharest, Romania,Europe,9.1865,8.516,5.383,1.187,3.4955,5.0725,5.681666667,8.986,6.075333333,2.4475,3.41925,4.103,6.839,9.638,6.9595,8.6865,1.9675,97.64375
Budapest, Hungary,Europe,8.5705,7.948,5.4935,2.804,4.4265,5.395,6.708,8.2185,5.746,3.693,5.2875,4.946,6.1075,6.759,8.253,7.228,5.112,102.696
Buenos Aires, Argentina,South America,8.812,7.764,4.673,2.31,3.77,4.9235,4.045333333,6.0395,6.979,1.422,4.869,2.884,1.568,1.5275,7.6735,8.584,4.5355,82.37983333
Buffalo, New York,North America,7.0765,5.228,3.947,2.715,1.511,2.154,8.671,7.1885,6.457333333,4.212,8.32925,6.5145,3.9205,6.758,4.32,7.404,4.6465,91.05308333
Cairo, Egypt,Africa,10,10,5.0985,2.958,3.7575,3.99025,5.790666667,6.791,4.041,0.5,1.1555,2.978,5.101,2.405,6.1855,2.65,0.5,73.90191667
Calgary, Canada,North America,6.495,5.418,5.9495,2.036,2.514,5.1575,8.966,7.923,8.026333333,5.555,8.1915,5.8405,7.2745,5.6705,4.268,8.1105,7.5045,104.9003333
Cambridge, United Kingdom,Europe,4.1055,4.851,5.253,3.284,6.8875,5.62775,8.992,9.5045,8.189,6.5545,8.0165,5.438,5.9545,5.8095,2.455,8.487,0.5,99.90925
Cape Town, South Africa,Africa,6.7635,7.955,5.611,3.725,2.163,3.8425,4.732,5.328,4.343,0.8945,6.6085,2.768,5.151,5.6125,4.736,3.6605,6.7505,80.6445
Caracas, Venezuela,South America,4.9025,9.82,3.0535,0,1.3235,4.54425,1,5.221,4.178333333,0,2.2725,1.978,4.18,1.6415,4.38,4.5505,4.0985,57.14408333
Cardiff, United Kingdom,Europe,7.065,6.082,3.3955,1.78,4.89,5.76475,8.992,8.21,8.318333333,4.7855,6.60725,5.438,5.9545,5.101,5.0285,7.996,4.8055,100.2138333
Casablanca, Morocco,Africa,8.822,9.088,3.0975,0,2.9145,4.26,5.614333333,6.7755,4.47,0,2.2555,3.1735,3.2995,2.067,2.683,2.945,3.9935,65.45883333
Charleston, South Carolina,North America,4.637,3.567,4.92,2.011,1.399,4.62075,8.671,5.0555,6.779666667,3.6245,7.276,6.5145,4.062,6.093,6.595,5.771,5.0095,86.60641667
Charlotte, North Carolina,North America,5.549,4.987,6.248,2.878,3.679,4.134,8.671,5.3475,6.432333333,3.6245,8.00925,6.5145,4.062,6.387,5.606,6.7895,1.3115,90.23008333
Chattanooga, Tennessee,North America,6.782,6.121,3.9095,2.228,1.2095,0.797,8.671,4.468,6.243,3.6245,7.1515,6.5145,4.772,8.365,4.1625,4.7925,3.908,83.7195
Chennai, India,Asia,10,10,7.104,3.782,4.208,4.842,3.618,7.837,4.074666667,0.5115,2.3945,5.5565,3.4145,6.8255,2.2275,4.55,4.198,85.14366667
Chiang Mai, Thailand,Asia,9.3725,8.495,1.783,0,1.6945,5.14125,5.603666667,8.4525,7.393666667,1.6875,3.981,2.387,6.7945,4.2865,6.8475,6.8715,3.088,83.87958333
Chicago, Illinois,North America,3.702,4.766,9.513,8.368,5.5075,4.57975,8.671,3.832,6.216,7.999,6.8045,6.5145,4.062,6.5995,8.193,6.134,5.4155,106.87725
Chisinau, Moldova,Europe,9.6765,9.343,3.0535,0,1.6025,5.495,5.443333333,7.628,5.066,1.3995,4.33825,3.9765,6.2325,5.3615,2.712,6.647,3.121,81.09608333
Christchurch, New Zealand,Oceania,6.934,5.096,1.5355,0,0.8335,5.51775,10,7.585,8.312333333,4.756,9.2565,5.5055,5.9315,5.922,3.2235,8.4035,6.269,95.08158333
Cincinnati, Ohio,North America,6.6775,6.108,6.0995,2.709,1.9265,4.7435,8.671,4.975,6.346,4.2805,7.1095,6.5145,3.9205,6.512,6.118,5.299,3.6075,91.6175
Cleveland, Ohio,North America,7.156,5.595,4.961,3.646,2.0775,4.42125,8.671,3.637,6.755666667,4.6185,7.2505,6.5145,3.9205,5.4765,5.6965,4.7755,4.669,89.84191667
Cluj-Napoca, Romania,Europe,9.165,8.794,3.4095,1.899,1.7625,5.876,5.681666667,9.4745,6.434333333,2.448,6.40075,4.103,6.839,8.6655,2.6275,8.624,4.255,96.45925
Cologne, Germany,Europe,6.5265,5.607,5.1065,3.278,7.282,5.38175,9.072333333,6.6295,8.04,5.1035,6.48,5.3735,3.9035,5.666,5.3225,6.7115,5.289,100.7730833
Colorado Springs, Colorado,North America,6.4995,5.375,4.267,2.147,1.266,1.73525,8.671,5.3775,5.844,3.6245,8.5265,6.5145,4.346,5.9225,3.812,9.206,7.3565,90.49075
Columbus, Ohio,North America,6.2895,5.746,5.8785,4.973,1.663,5.02675,8.671,5.2815,6.406,5.0475,8.166,6.5145,3.9205,4.5535,6.466,5.9215,4.545,95.06975
Copenhagen, Denmark,Europe,4.227,3.426,6.207,4.467,6.3,6.2955,9.94,9.1525,7.985333333,5.301,8.27225,4.8865,5.068,7.2395,7.063,9.0955,4.671,109.5970833
Cork, Ireland,Europe,5.5145,4.902,3.9875,2.87,2.3615,5.50425,8.345666667,8.8395,7.426333333,4.879,8.01275,7.5145,6.255,9.144,2.5315,8.6305,0.5,97.2185
Curitiba, Brazil,South America,9.4295,8.433,2.912,2.148,0.89,4.95025,2.781,5.9465,5.897,1.0165,7.75725,2.187,2.8525,3.142,7.1875,7.848,2.6655,78.0435
Dallas, Texas,North America,5.259,6.091,7.9395,4.916,4.7465,4.4705,8.671,4.339,6.086666667,4.284,6.693,6.5145,4.772,6.461,7.1685,5.294,4.502,98.20816667
Dar es Salaam, Tanzania,Africa,7.652,8.026,2.6875,3.191,1.4535,2.07575,3.288666667,6.1005,3.238666667,0,2.08025,5.5,4.497,1.11,1.205,2.7665,4.3535,59.22583333
Delhi, India,Asia,9.752,9.869,9.8285,9.099,5.642,3.71225,3.618,6.4185,3.712666667,0.512,2.203,5.5565,3.4145,3.588,5.683,3.116,1.1785,86.90341667
Denver, Colorado,North America,3.8375,5.102,7.8645,6.117,4.243,4.53,8.671,5.371,6.220333333,3.6245,7.11675,6.5145,4.346,5.4185,6.2235,7.8605,7.933,100.9935833
Des Moines, Iowa,North America,6.851,6.327,2.912,1.818,1.379,2.07225,8.671,6.984,6.709,3.6245,8.68225,6.5145,4.346,5.698,6.0665,8.4765,3.2995,90.431
Detroit, Michigan,North America,6.223,6.032,5.4015,5.184,3.6405,0.933,8.671,4.4615,5.786333333,5.8185,4.04675,6.5145,3.7785,6.167,7.478,3.678,5.3875,89.20158333
Doha, Qatar,Asia,2.1315,6.183,2.6875,0,2.6425,4.61625,7.408333333,9.486,7.433666667,1.4335,3.94175,9.39,10,3.245,4.6205,5.0625,4.437,84.719
Dresden, Germany,Europe,7.8845,6.028,2.4065,1.533,3.536,4.96,9.072333333,8.464,8.393666667,5.1245,8.11075,5.3735,3.9035,5.6035,6.6385,7.369,4.649,99.05025
Dubai, United Arab Emirates,Asia,2.591,5.49,7.309,4.183,4.508,4.2285,8.037,9.172,6.392,2.28,6.0355,7.886,10,3.151,4.6705,5.4265,5.7985,97.1585
Dublin, Ireland,Europe,2.5125,4.005,5.651,6.204,4.7615,5.44625,8.345666667,7.1215,6.810333333,5.6065,6.5015,7.5145,6.255,8.3435,7.1345,7.328,5.664,105.20525
Dusseldorf, Germany,Europe,6.282,5.134,3.389,2.23,6.6695,5.283,9.072333333,8.166,8.003666667,4.3065,7.3755,5.3735,3.9035,5.666,4.664,7.8685,5.3585,98.7455
Edinburgh, United Kingdom,Europe,5.845,5.114,4.109,3.337,5.185,5.9675,8.992,8.485,8.552333333,6.0925,7.763,5.438,5.9545,5.1755,7.2005,7.922,5.131,106.2638333
Edmonton, Canada,North America,6.7295,5.522,4.624,2.392,1.902,5.09725,8.966,7.1175,8.269,5.948,8.17575,5.8405,7.2745,4.61,3.974,7.9255,3.385,97.7525
Eindhoven, Netherlands,Europe,6.252,5.125,3.5405,3.017,4.8075,6.03175,8.836666667,9.107,8.559333333,5.0805,8.805,5.053,4.955,7.659,4.3335,9.3425,4.628,105.13325
Eugene, Oregon,North America,6.713,5.021,3.0865,1.964,1.192,5.627,8.671,6.1715,6.566666667,4.1735,8.231,6.5145,3.9205,4.756,2.956,8.9695,3.533,88.06666667
Florence, Italy,Europe,6.775,4.649,2.2275,0,4.306,6.02875,6.189666667,7.9725,8.163666667,4.058,6.009,3.3625,2.4365,4.4415,8.5035,6.7355,1.677,83.53558333
Florianopolis, Brazil,South America,9.0595,8.331,1,0,0.683,4.78775,2.781,6.525,5.433,1.0165,4.944,2.187,2.8525,3.185,5.33,7.6375,5.751,71.50375
Fort Collins, Colorado,North America,2.7445,0,4.0435,0,1.102,2.0075,8.671,6.9355,6.831,4.1735,9.95325,6.5145,4.346,5.302,2.746,9.48,6.1865,81.03675
Frankfurt, Germany,Europe,5.957,5.143,3.768,3.399,8.529,5.923,9.072333333,6.8375,7.707333333,5.2065,6.4755,5.3735,3.9035,4.079,6.492,7.0345,5.384,100.2846667
Fukuoka, Japan,Asia,4.01,0,1.484,1.79,6.1725,0,8.389666667,9.945,9.098,5.5275,7.916,3.7235,6.033,4.575,5.8605,7.259,5.6815,87.46516667
Galway, Ireland,Europe,6.2755,4.927,2.538,2.556,2.3615,5.68975,8.345666667,8.89,7.07,5.0075,7.51875,7.5145,6.255,7.6375,1.115,8.7005,3.7125,96.11466667
Gdansk, Poland,Europe,8.508,8.127,2.6875,0,2.8345,5.861,5.704333333,8.0405,6.855666667,4.6615,7.7945,4.7615,5.097,5.036,5.515,4.4785,5.025,90.9875
Geneva, Switzerland,Europe,1.0775,1,4.692,3.089,5.8665,6.003,8.888,8.427,7.443,5.186,8.60175,6.552,6.4285,8.3785,5.244,8.6205,6.5535,102.05075
Gibraltar, Gibraltar,Europe,1.112,0,2.842,1.566,0.758,0,0,9.3375,3.023333333,0,5.1835,0,2.913,4.296,2.235,4.4265,4.7565,42.44933333
Glasgow, United Kingdom,Europe,6.9285,5.623,3.505,1.182,6.1995,5.35225,8.992,7.496,8.813333333,5.3065,7.101,5.438,5.9545,4.253,4.671,6.943,3.741,97.49958333
Gothenburg, Sweden,Europe,6.725,5.046,3.1285,3.725,3.6575,5.96875,9.569,7.296,8.101666667,4.7775,8.58975,5.6945,2.7495,6.1925,4.0045,6.3645,4.5685,96.15866667
Grenoble, France,Europe,7.505,4.317,2.743,1.852,3.996,5.52575,8.088333333,5.8875,9.063,4.549,6.151,4.2045,2.648,3.758,3.1785,5.0505,4.646,83.16308333
Guadalajara, Mexico,North America,9.527,9.49,4.3445,0,1.7295,4.3455,5.765,6.472,7.034333333,1.2095,3.34325,3.5005,4.3335,4.0925,7.657,8.1575,3.4765,84.47808333
Guatemala City, Guatemala,North America,8.8125,8.175,2.641,1.673,0.8145,0.52375,4.617,6.139,4.763666667,0,3.75775,3.805,8.505,2.506,5.1645,7.157,4.1335,73.18816667
Halifax, Canada,North America,6.895,4.943,3.624,2.284,1.57,5.40275,8.966,7.1885,7.885666667,5.42,7.6185,5.8405,7.2745,6.1235,3.942,7.8535,4.023,96.85441667
Hamburg, Germany,Europe,5.9445,4.904,5.794,4.197,5.685,5.8265,9.072333333,6.459,8.13,4.3065,8.124,5.3735,3.9035,5.5605,6.3525,7.163,5.088,101.8838333
Hannover, Germany,Europe,7.754,6,1,0,5.646,6.54975,9.072333333,7.3525,8.133666667,4.834,9.13125,5.3735,3.9035,5.666,3.5255,7.266,4.2665,95.4745
Havana, Cuba,North America,9.089,7.608,1.4975,0,1.919,0,1.643333333,8.6335,6.999666667,0,3.86225,2.5495,0.5,1.703,2.07,8.7595,5.0225,61.85675
Helsinki, Finland,Europe,5.396,4.121,5.683,5.507,4.7505,5.77925,9.450666667,8.674,7.953666667,5.4545,9.301,3.921,4.8785,5.1035,7.0545,7.5015,4.798,105.3275833
Ho Chi Minh City, Vietnam,Asia,8.618,8.844,4.93,1.739,2.08,5.1835,4.101666667,6.7675,5.540333333,4.1165,1.41975,4.8345,5.045,4.565,5.874,5.9435,1.2575,80.85975
Hong Kong, Hong Kong,Asia,1,4.967,8.343,8.314,3.679,5.54025,9.294333333,9.3505,4.154,9.711,4.53325,6.4825,8.3805,6.2275,7.0585,7.152,5.796,109.9833333
Honolulu, Hawaii,North America,2.3415,2.867,4.1335,0,1.983,4.16175,8.671,6.8565,6.431,4.2805,6.094,6.5145,4.204,6.158,7.623,7.774,5.9175,86.01075
Houston, Texas,North America,5.2245,6.162,7.9345,4.474,4.3385,4.03075,8.671,3.129,6.379,4.928,5.3045,6.5145,4.772,6.2485,7.144,5.34,5.386,95.98075
Hyderabad, India,Asia,10,10,8.7245,3.585,3.841,4.632,3.618,8.1265,3.957333333,0,2.8405,5.5565,3.4145,5.54,4.271,4.1325,3.2085,85.44783333
Indianapolis, Indiana,North America,6.266,5.478,5.503,3.96,1.6815,4.85875,8.671,3.968,6.151333333,3.6245,6.1605,6.5145,4.062,5.8755,7.299,6.87,3.965,90.90858333
Innsbruck, Austria,Europe,6.708,4.732,2.1255,0,5.5695,6.374,7.596,8.273,7.884666667,4.33,7.366,4.663,2.666,5.0595,4.4245,8.4855,3.9635,90.22066667
Istanbul, Turkey,Asia,9.1375,8.787,6.9535,2.111,5.8355,4.06575,5.948333333,6.8935,6.84,2.1525,3.40475,4.0935,4.3235,3.5005,10,3.8925,5.7435,93.68283333
Jacksonville, Florida,North America,6.45,5.359,4.3475,2.545,1.5675,1.40575,8.671,3.8255,6.199,3.6245,7.12025,6.5145,4.772,6.1575,5.6545,5.6785,5.013,84.905
Jakarta, Indonesia,Asia,8.671,8.471,5.6495,6.437,2.4885,3.64,4.028666667,7.0005,4.184,1.0275,2.48575,4.6575,6.266,4.499,8.146,2.0665,7.202,86.92041667
Johannesburg, South Africa,Africa,8.012,7.575,4.9375,1.467,3.203,3.91575,4.732,5.1655,3.648666667,0.7585,4.3255,2.768,5.151,2.8375,4.4015,3.6605,2.956,69.51491667
Kansas City, Missouri,North America,6.7075,5.844,2.794,3.538,1.869,1.9725,8.671,4.4225,6.449666667,3.6245,7.9765,6.5145,4.062,8.1885,6.6745,5.0205,4.1615,88.49066667
Karlsruhe, Germany,Europe,7.7645,5.294,2.994,1.299,4.7985,4.9055,9.072333333,6.858,8.412,5.2075,7.7675,5.3735,3.9035,4.5945,3.9865,8.337,4.5885,95.15633333
Kathmandu, Nepal,Asia,10,9.445,3.211,0,1.041,5.349,4.740333333,8.5055,4.116,0,1,4.496,5.513,2.201,5.039,9.129,3.798,77.58383333
Kiev, Ukraine,Europe,9.0845,9.817,4.0495,2.545,5.4875,5.16075,4.525333333,7.2555,4.851,0.5,3.6665,1.2755,5.478,6.0415,8.4195,6.827,5.349,90.33308333
Kingston, Jamaica,North America,8.8955,5.937,2.648,0,0.8145,4.92675,6.567666667,5.5275,6.678,0,3.02025,1.8295,6.0735,4.4835,4.278,2.8435,3.346,67.86916667
Knoxville, Tennessee,North America,6.9755,6.447,3.5165,0,1.379,1.943,8.671,5.1295,6.421666667,4.212,3.72325,6.5145,4.772,7.0925,4.4955,5.4025,1.7525,78.44791667
Krakow, Poland,Europe,8.4245,8.509,4.534,2.11,2.9285,5.629,5.704333333,8.5215,6.854,4.6625,4.802,4.7615,5.097,5.7875,7.84,4.592,4.3085,95.06583333
Kuala Lumpur, Malaysia,Asia,8.6635,8.238,5.542,4.245,3.562,4.37975,7.597333333,5.881,5.950333333,2.527,3.87,6.339,6.1265,5.4615,7.166,1.528,5.7385,92.81541667
Kyoto, Japan,Asia,3.765,0,1.3025,0,6.7945,2.5,8.389666667,10,9.078666667,6.241,6.435,3.7235,6.033,3.712,8.1535,7.663,1.6465,85.43783333
Lagos, Nigeria,Africa,7.767,9.098,6.4335,2.51,1.748,3.56475,3.255666667,5.9995,2.862333333,0,1.90725,5.061,6.2155,1.634,1.3585,1.406,3.8245,64.6455
La Paz, Bolivia,South America,4.724,0,1.4975,0,1.319,3.83425,3.482,6.7505,4.316,0,1.73375,4.536,4.549,1.548,1.525,6.293,5.5,51.608
Las Palmas de Gran Canaria, Spain,Europe,8.232,7.717,1.5835,0,4.3235,0,7.119666667,9.1545,9.214333333,3.759,6.8605,4.296,3.894,6.1955,2.8145,9.7185,5.5375,90.42
Las Vegas, Nevada,North America,7.001,5.759,7.515,2.022,3.5285,4.8075,8.671,2.385,5.635333333,3.6245,5.5565,6.5145,4.772,5.3035,6.3685,7.275,5.385,92.12383333
Lausanne, Switzerland,Europe,4.0755,1,3.822,3.308,6.5145,5.85825,8.888,8.0325,7.352,6.622,8.80975,6.552,6.4285,4.146,4.222,8.4535,5.338,99.4225
Leeds, United Kingdom,Europe,6.811,5.363,3.3605,4.423,6.595,5.10575,8.992,7.731,8.633666667,4.9825,5.922,5.438,5.9545,7.3295,3.7435,7.214,1.2955,98.89441667
Leipzig, Germany,Europe,8.177,5.911,2.7065,0,4.337,6.01375,9.072333333,7.277,7.300333333,4.3065,9.03275,5.3735,3.9035,5.6465,4.5265,7.1935,4.747,95.52466667
Lille, France,Europe,7.532,5.399,3.2585,2.381,6.02,2.29375,8.088333333,6.942,9.071,4.3935,4.2395,4.2045,2.648,3.827,5.1095,7.203,2.2925,84.90308333
Lima, Peru,South America,8.712,8.496,3.8835,1.65,2.012,4.759,5.001666667,5.2905,5.710666667,0.5,2.48075,3.1625,6.524,2.41,6.8085,6.0805,5.388,78.86958333
Lisbon, Portugal,Europe,6.734,7.004,6.022,3.194,4.191,5.31575,8.238666667,8.438,7.860333333,4.48,6.4115,3.483,4.1575,6.394,7.8335,9.597,5.691,105.04525
Liverpool, United Kingdom,Europe,7.485,6.02,3.559,2.355,6.6495,4.541,8.992,7.7285,9.027666667,4.872,7.27525,5.438,5.9545,8.994,5.393,7.451,5.4585,107.1939167
Ljubljana, Slovenia,Europe,8.214,6.749,4.088,1.23,2.293,5.69875,7.676666667,8.953,7.671666667,4.852,8.66175,4.7205,4.81,5.4895,4.799,8.184,1.8225,95.91333333
London, United Kingdom,Europe,1,3.94,10,9.859,9.4025,5.3955,8.992,7.2435,8.018,9.027,5.54775,5.438,5.9545,5.8455,9.4555,6.573,5.3745,117.06625
Los Angeles, California,North America,1.5275,4.556,10,10,3.9585,3.677,8.574666667,5.705,6.027333333,8.6245,4.7315,6.5145,4.7675,5.4965,9.196,6.96,6.747,107.0635
Louisville, Kentucky,North America,7.258,6.358,4.254,2.293,1.473,1.954,8.671,3.6175,6.162333333,3.6245,6.60125,6.5145,4.062,5.527,5.6935,5.7785,1.3,81.14208333
Luxembourg, Luxembourg,Europe,2.453,3.411,3.3075,1.899,4.5805,5.8445,7.856666667,8.628,8.220333333,3.4795,8.57625,7.473,7.151,5.458,4.4955,8.8045,1.475,93.11325
Lviv, Ukraine,Europe,9.778,10,4.204,0,3.7615,5.48525,4.525333333,7.822,4.87,0,4.82525,1.2755,5.478,5.056,7.0585,6.716,4.436,85.29133333
Lyon, France,Europe,6.697,4.349,4.4995,3.083,5.963,5.18525,8.088333333,7.1345,8.641666667,4.5805,6.54325,4.2045,2.648,9.403,5.9875,6.517,5.3735,98.8985
